frequency_hz,band_index,band_label,energy,energy_relative_db,gate,activation_rms,activation_relative_db
350.0,3,750-1000 Hz,0.04857645556330681,-28.427751541137695,0.5461008548736572,0.06840091943740845,-35.632225036621094
350.0,4,1-1.5 kHz,0.6778103709220886,-16.980926513671875,0.6800487041473389,0.3485603928565979,-21.487903594970703
350.0,5,1.5-2.5 kHz,0.05338725447654724,-28.01763343811035,0.5625194311141968,0.07459694892168045,-34.87904357910156
350.0,6,2.5-4 kHz,3.888728141784668,-9.393933296203613,0.8763967752456665,1.2177962064743042,-10.62197208404541
350.0,7,>4 kHz,0.22257743775844574,-21.817197799682617,0.609140157699585,0.16914306581020355,-27.768381118774414
375.0,0,<250 Hz,1.3887826204299927,-13.865666389465332,0.7487499713897705,0.5824126601219177,-17.02884864807129
375.0,1,250-500 Hz,24.404855728149414,-1.4172468185424805,0.9800551533699036,3.4443235397338867,-1.5913857221603394
375.0,2,500-750 Hz,0.4152730107307434,-19.108673095703125,0.6392825841903687,0.28874221444129944,-23.123260498046875
375.0,3,750-1000 Hz,0.22416840493679047,-21.786266326904297,0.5902345180511475,0.16453656554222107,-28.008214950561523
375.0,4,1-1.5 kHz,1.121946096420288,-14.792289733886719,0.7397563457489014,0.511339545249939,-18.159276962280273
375.0,5,1.5-2.5 kHz,0.0891726091504097,-25.789695739746094,0.5724356174468994,0.09849642217159271,-32.46505355834961
375.0,6,2.5-4 kHz,7.974496841430664,-6.27497673034668,0.9326097965240479,1.870800495147705,-6.892914772033691
375.0,7,>4 kHz,0.2758813500404358,-20.884784698486328,0.6211707592010498,0.19414223730564117,-26.571063995361328
400.0,0,<250 Hz,4.30364990234375,-8.95363998413086,0.8694530725479126,1.2654964923858643,-10.288246154785156
400.0,1,250-500 Hz,28.116661071777344,-0.8023719787597656,0.9828847646713257,3.70654296875,-0.9540833234786987
400.0,2,500-750 Hz,0.06911782175302505,-26.89611053466797,0.5625920295715332,0.10702389478683472,-31.74384880065918
400.0,3,750-1000 Hz,0.6365912556648254,-17.253402709960938,0.6687430143356323,0.3376343250274658,-21.76453399658203
400.0,4,1-1.5 kHz,1.47118079662323,-13.615349769592285,0.7743970155715942,0.6272684335708618,-16.384395599365234
400.0,5,1.5-2.5 kHz,0.10380952805280685,-25.129638671875,0.5763821601867676,0.10730716586112976,-31.720888137817383
400.0,6,2.5-4 kHz,12.279693603515625,-4.400134086608887,0.9551640748977661,2.37923002243042,-4.8047356605529785
400.0,7,>4 kHz,0.5552752017974854,-17.846925735473633,0.6748778820037842,0.3143311142921448,-22.38571548461914
425.0,0,<250 Hz,8.080705642700195,-6.21751594543457,0.9197026491165161,1.848751187324524,-6.9958953857421875
425.0,1,250-500 Hz,28.62387466430664,-0.724725067615509,0.9832136631011963,3.7409329414367676,-0.8738658428192139
425.0,2,500-750 Hz,0.02357827126979828,-31.5668888092041,0.5503140687942505,0.06968597322702408,-35.470558166503906
425.0,3,750-1000 Hz,1.2928019762039185,-14.176689147949219,0.7492267489433289,0.5716858506202698,-17.19031524658203
425.0,4,1-1.5 kHz,1.5907411575317383,-13.27601432800293,0.7844508290290833,0.664761483669281,-15.880146980285645
425.0,5,1.5-2.5 kHz,0.0825161412358284,-26.12662124633789,0.570620059967041,0.09434649348258972,-32.83894729614258
425.0,6,2.5-4 kHz,15.331185340881348,-3.4362518787384033,0.963965654373169,2.6827728748321533,-3.761786460876465
425.0,7,>4 kHz,0.8048216104507446,-16.23501205444336,0.7124971747398376,0.4121917188167572,-20.031478881835938
450.0,0,<250 Hz,11.418676376342773,-4.715851783752441,0.9401353597640991,2.249511241912842,-5.29170036315918
450.0,1,250-500 Hz,25.808378219604492,-1.174402117729187,0.9812218546867371,3.545776844024658,-1.3392364978790283
450.0,2,500-750 Hz,0.22374403476715088,-21.79449462890625,0.6001449227333069,0.1973964273929596,-26.426677703857422
450.0,3,750-1000 Hz,2.0330801010131836,-12.210464477539062,0.8053067922592163,0.7941774725914001,-14.335113525390625
450.0,4,1-1.5 kHz,1.437781810760498,-13.715080261230469,0.7714405655860901,0.6166129112243652,-16.53321075439453
450.0,5,1.5-2.5 kHz,0.04661894217133522,-28.606386184692383,0.5606001615524292,0.06951822340488434,-35.49148941040039
450.0,6,2.5-4 kHz,16.016517639160156,-3.246328353881836,0.9655051231384277,2.7463717460632324,-3.5582778453826904
450.0,7,>4 kHz,1.0331982374191284,-15.15017318725586,0.7406660318374634,0.4958858788013458,-18.42582893371582
475.0,0,<250 Hz,13.06879711151123,-4.129652976989746,0.946834921836853,2.4243836402893066,-4.641438007354736
475.0,1,250-500 Hz,20.479360580444336,-2.1788454055786133,0.975938081741333,3.143061637878418,-2.386406421661377
475.0,2,500-750 Hz,0.4256039559841156,-19.001953125,0.6411970853805542,0.29333144426345825,-22.98629379272461
475.0,3,750-1000 Hz,2.5605392456054688,-11.208695411682129,0.8328837156295776,0.9321345686912537,-12.943892478942871
475.0,4,1-1.5 kHz,1.0820008516311646,-14.949732780456543,0.7352019548416138,0.4974437355995178,-18.39858627319336
475.0,5,1.5-2.5 kHz,0.05036916211247444,-28.270360946655273,0.5616653561592102,0.07239095121622086,-35.13977813720703
475.0,6,2.5-4 kHz,14.125076293945312,-3.7921011447906494,0.960913896560669,2.567049264907837,-4.144780158996582
475.0,7,>4 kHz,1.589152455329895,-13.280353546142578,0.7920440435409546,0.6797056794166565,-15.68704605102539
